series,n_months,mean,min,max
AIQ_correlation_kappa_all_300,300,134.4325907275322,23.803996524716595,1615.2430532732562
HC_correlation_kappa_all_300,300,434.04271345503037,61.8962654549333,1892.7654839910626
ID_KAPPA_matched_kappa_hybrid_all_300,300,129.17199710065844,23.803996524716418,710.3012785148079
AIQ_correlation_kappa_when_IDK_active,294,125.16634791454969,23.803996524716595,661.9029604486416
ID_KAPPA_alpha_all_300,300,0.03791421035933818,0.0,0.1113489635001257
