rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
785,0.0,1.5,0.9,0.9,4.822269506186448,0,10
786,0.3,2.25,0.5,0.9,4.823373417557186,2,9
787,0.0,3.0,0.75,0.9,4.8257277910525,12,9
788,0.1,1.25,0.8,0.9,4.826225391340987,0,10
789,0.1,1.75,0.7,0.9,4.827064168274068,0,10
790,0.1,1.0,0.9,0.9,4.828309010014061,0,10
791,0.0,2.25,0.6,0.9,4.829951605994338,1,9
792,0.1,0.75,0.75,0.9,4.830114798948917,0,10
793,0.3,2.75,0.4,0.9,4.830947279018336,4,9
794,0.1,1.5,0.7,0.9,4.8319079250632395,0,10
795,0.1,3.0,0.25,0.9,4.833844634887971,5,9
796,0.2,0.75,0.4,0.9,4.834475429967979,0,10
797,0.0,3.0,0.8,0.9,4.83506528153992,12,9
798,0.1,2.25,0.5,0.9,4.836606778943772,0,10
799,0.6,1.25,1.0,0.9,4.837959233814082,0,10
800,0.0,2.75,0.7,0.9,4.838691841968844,12,9
801,0.4,1.25,0.9,0.9,4.839190818856869,0,10
802,0.1,1.25,1.0,0.9,4.841241058591924,0,10
803,0.2,2.5,0.3,0.9,4.841444893186703,12,9
804,0.1,1.75,0.75,0.9,4.842919106522927,0,10
805,0.6,1.0,1.0,0.9,4.842964214031273,0,10
806,0.1,3.0,0.3,0.9,4.845393720002127,5,9
807,0.1,1.5,0.75,0.9,4.846572111950509,0,10
808,0.1,2.75,0.4,0.9,4.847166704084972,5,9
809,0.3,3.0,0.4,0.9,4.847724766893486,4,9
810,0.3,2.5,0.5,0.9,4.849379239341703,4,9
811,0.0,2.5,0.6,0.9,4.850702112579644,9,9
812,0.0,2.75,0.75,0.9,4.851555790276217,12,9
813,0.1,0.75,0.8,0.9,4.851582540188348,0,10
814,0.0,3.0,1.0,0.9,4.851608087979868,12,9
815,0.1,0.75,0.9,0.9,4.852738184629366,0,10
816,0.0,3.0,0.9,0.9,4.852838454930135,12,9
817,0.0,1.5,1.0,0.9,4.853618992871999,0,10
818,0.3,2.0,0.6,0.9,4.85374212985627,0,10
819,0.1,1.75,0.8,0.9,4.854983978817423,0,10
820,0.2,1.75,1.0,0.9,4.855083593829064,0,10
821,0.3,2.0,0.9,0.9,4.855407206657544,0,10
822,0.1,1.5,0.8,0.9,4.856238951001863,0,10
823,0.3,2.25,1.0,0.9,4.85970353040531,2,9
824,0.1,2.0,0.6,0.9,4.8610481006416055,0,10
825,0.0,2.75,0.8,0.9,4.8638124485499885,12,9
826,0.1,1.75,0.9,0.9,4.865517274706144,0,10
827,0.1,2.5,0.5,0.9,4.867076587635557,4,9
828,0.1,3.0,0.4,0.9,4.868523553460926,5,9
829,0.3,2.75,0.5,0.9,4.870792824253962,4,9
830,0.1,1.25,0.9,0.9,4.871226424366721,0,10
831,0.3,3.0,0.5,0.9,4.871863139662704,4,9
832,0.3,2.0,0.8,0.9,4.872158314662762,0,10
833,0.3,2.0,0.7,0.9,4.8733129001021505,0,10
834,0.3,2.0,0.75,0.9,4.873711589555977,0,10
835,0.2,1.5,1.0,0.9,4.878238383961717,0,10
836,0.1,1.5,1.0,0.9,4.8796886343535,0,10
837,0.3,2.25,0.6,0.9,4.8803490950209305,2,9
838,0.1,1.5,0.9,0.9,4.883022419905682,0,10
839,0.1,2.75,0.5,0.9,4.883208066951383,5,9
840,0.1,2.0,0.7,0.9,4.886890611350595,0,10
841,0.1,3.0,0.5,0.9,4.887170437954699,5,9
842,0.0,2.75,0.9,0.9,4.887277960844283,12,9
843,0.3,2.5,1.0,0.9,4.888698735133865,4,9
844,0.3,3.0,0.6,0.9,4.89083699367362,4,9
845,0.0,2.25,0.7,0.9,4.897537142264972,1,9
846,0.1,2.0,0.75,0.9,4.899418750186417,0,10
847,0.3,2.75,0.6,0.9,4.902275591825856,4,9
848,0.1,3.0,0.6,0.9,4.902279258906943,5,9
849,0.3,2.5,0.6,0.9,4.902842465966481,4,9
850,0.0,2.75,0.0,0.9,4.903251834280986,46,7
851,0.1,2.75,0.0,0.9,4.903251834280986,46,7
852,0.2,2.75,0.0,0.9,4.903251834280986,46,7
853,0.3,2.75,0.0,0.9,4.903251834280986,46,7
854,0.4,2.75,0.0,0.9,4.903251834280986,46,7
855,0.5,2.75,0.0,0.9,4.903251834280986,46,7
856,0.6,2.75,0.0,0.9,4.903251834280986,46,7
857,0.7,2.75,0.0,0.9,4.903251834280986,46,7
858,0.3,3.0,0.7,0.9,4.906583639941019,4,9
859,0.2,2.0,0.4,0.9,4.90694410618968,0,10
860,0.0,2.75,1.0,0.9,4.908229060236669,12,9
861,0.1,2.0,1.0,0.9,4.908907824020563,0,10
862,0.3,2.25,0.7,0.9,4.911390661227285,2,9
863,0.1,2.75,0.6,0.9,4.913581983849283,5,9
864,0.3,3.0,0.75,0.9,4.914021188783408,4,9
865,0.1,3.0,0.7,0.9,4.915147358943093,5,9
866,0.1,2.0,0.8,0.9,4.915268184326522,0,10
867,0.1,2.25,0.6,0.9,4.917267027439787,0,10
868,0.2,1.5,0.5,0.9,4.918826179796235,0,10
869,0.2,1.0,0.5,0.9,4.919038014014036,0,10
870,0.3,2.25,0.75,0.9,4.919679320234535,2,9
871,0.0,2.25,0.75,0.9,4.919995854948434,1,9
872,0.2,0.75,0.5,0.9,4.920702738768027,0,10
873,0.1,3.0,0.75,0.9,4.920755530965852,5,9
874,0.3,3.0,0.8,0.9,4.921647566909204,4,9
875,0.2,2.25,0.4,0.9,4.92164885927313,3,9
876,0.1,3.0,0.8,0.9,4.926004354393551,5,9
877,0.0,2.5,0.7,0.9,4.926255360743665,9,9
878,0.2,3.0,0.1,0.9,4.926500088550411,12,9
879,0.2,1.75,0.5,0.9,4.926965360937892,0,10
880,0.3,2.25,0.8,0.9,4.927472417590918,2,9
881,0.3,2.75,0.7,0.9,4.9275058772091835,4,9
882,0.2,2.75,0.2,0.9,4.929776617218071,12,9
883,0.3,2.5,0.9,0.9,4.931678565678993,4,9
884,0.1,2.0,0.9,0.9,4.932756455026527,0,10
885,0.3,2.25,0.9,0.9,4.933386839807269,2,9
886,0.0,2.0,0.0,0.9,4.9335969021326385,46,7
887,0.1,2.0,0.0,0.9,4.9335969021326385,46,7
888,0.2,2.0,0.0,0.9,4.9335969021326385,46,7
