rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
88,0.7,2.0,0.3,0.9,4.277865318344511,0,10
89,0.6,1.25,0.4,0.9,4.278277846094136,0,10
90,0.7,2.25,0.25,0.9,4.27918857646596,0,10
91,0.6,1.75,0.2,0.9,4.27933484307944,0,10
92,0.0,1.5,0.0,0.9,4.279594784357234,22,8
93,0.1,1.5,0.0,0.9,4.279594784357234,22,8
94,0.2,1.5,0.0,0.9,4.279594784357234,22,8
95,0.3,1.5,0.0,0.9,4.279594784357234,22,8
96,0.4,1.5,0.0,0.9,4.279594784357234,22,8
97,0.5,1.5,0.0,0.9,4.279594784357234,22,8
98,0.6,1.5,0.0,0.9,4.279594784357234,22,8
99,0.7,1.5,0.0,0.9,4.279594784357234,22,8
100,0.6,1.0,0.2,0.9,4.280645352150298,0,10
101,0.6,1.0,0.25,0.9,4.282594213252621,0,10
102,0.6,1.5,0.4,0.9,4.2836051419333065,0,10
103,0.6,1.75,0.25,0.9,4.285112424492334,0,10
104,0.5,1.25,0.25,0.9,4.285335342934788,0,10
105,0.7,1.75,0.1,0.9,4.287983120250887,0,10
106,0.6,1.0,0.3,0.9,4.290771935128193,0,10
107,0.5,1.5,0.25,0.9,4.294306959578796,0,10
108,0.6,1.75,0.3,0.9,4.29517023207607,0,10
109,0.7,3.0,0.1,0.9,4.296473963021437,0,10
110,0.5,2.25,0.1,0.9,4.297538492527392,0,10
111,0.1,2.5,0.1,0.9,4.29772908955309,4,9
112,0.7,1.5,0.4,0.9,4.298980986020787,0,10
113,0.7,2.5,0.25,0.9,4.3005753413704735,0,10
114,0.6,1.75,0.1,0.9,4.300657022974359,0,10
115,0.7,0.75,0.8,0.9,4.302139508507612,0,10
116,0.6,2.5,0.25,0.9,4.302264526069077,0,10
117,0.7,2.25,0.3,0.9,4.302371553519112,0,10
118,0.4,1.25,0.25,0.9,4.303586128695292,0,10
119,0.7,1.25,0.4,0.9,4.308594857128182,0,10
120,0.6,2.0,0.4,0.9,4.309008807838957,0,10
121,0.3,2.5,0.1,0.9,4.30985984506981,4,9
122,0.0,1.5,0.2,0.9,4.313066177985929,0,10
123,0.7,1.75,0.4,0.9,4.316451219684387,0,10
124,0.5,1.75,0.1,0.9,4.3168111721552975,0,10
125,0.4,1.75,0.1,0.9,4.317124674655858,0,10
126,0.6,2.75,0.2,0.9,4.3181016607266445,0,10
127,0.3,1.5,0.2,0.9,4.318236502534978,0,10
128,0.7,2.75,0.2,0.9,4.320459549500677,0,10
129,0.7,2.5,0.3,0.9,4.321213385760962,0,10
130,0.7,1.0,0.1,0.9,4.322579394981561,0,10
131,0.5,1.0,0.1,0.9,4.3228300417652035,0,10
132,0.6,1.75,0.4,0.9,4.323993251341643,0,10
133,0.7,2.0,0.4,0.9,4.324864120813424,0,10
134,0.7,0.75,0.75,0.9,4.325461047646813,0,10
135,0.6,3.0,0.1,0.9,4.325635255365138,0,10
136,0.4,2.0,0.1,0.9,4.326216423933298,0,10
137,0.6,0.75,0.8,0.9,4.326740063375568,0,10
138,0.4,1.0,0.1,0.9,4.331780976473679,0,10
139,0.6,0.75,0.75,0.9,4.331940397991339,0,10
140,0.6,2.5,0.3,0.9,4.33306463029799,0,10
141,0.0,1.25,0.2,0.9,4.3335862357314205,0,10
142,0.2,1.25,0.2,0.9,4.334753439309451,0,10
143,0.6,2.25,0.4,0.9,4.334785592997643,0,10
144,0.3,1.0,0.1,0.9,4.338439342204509,0,10
145,0.7,1.5,0.5,0.9,4.340468721559926,0,10
146,0.1,1.0,0.1,0.9,4.340687303235386,0,10
147,0.6,1.0,0.4,0.9,4.340732214649854,0,10
148,0.7,2.75,0.25,0.9,4.341345531529537,0,10
149,0.5,2.0,0.2,0.9,4.341453410443819,0,10
150,0.6,2.75,0.25,0.9,4.342154297819311,0,10
151,0.1,1.25,0.2,0.9,4.343842420140597,0,10
152,0.7,0.75,0.7,0.9,4.34406927092996,0,10
153,0.0,1.75,0.2,0.9,4.344357798007695,0,10
154,0.6,1.5,0.5,0.9,4.344811900842928,0,10
155,0.7,1.0,0.2,0.9,4.34507162622448,0,10
156,0.7,2.25,0.4,0.9,4.345505056427422,0,10
157,0.6,0.75,0.7,0.9,4.348764959731138,0,10
158,0.7,1.0,0.25,0.9,4.350492193067577,0,10
159,0.7,1.75,0.5,0.9,4.350977068150013,0,10
160,0.6,0.75,0.9,0.9,4.3512360322866614,0,10
161,0.2,2.5,0.1,0.9,4.352779445063965,12,9
162,0.7,1.0,0.3,0.9,4.353546211215479,0,10
163,0.7,3.0,0.2,0.9,4.354049344553119,0,10
164,0.2,1.0,0.1,0.9,4.354581379934615,0,10
165,0.1,1.5,0.2,0.9,4.355156618493795,0,10
166,0.7,2.75,0.3,0.9,4.35516580711098,0,10
167,0.3,1.25,0.25,0.9,4.36027120371433,0,10
168,0.5,1.5,0.3,0.9,4.360309922243612,0,10
169,0.7,1.25,0.5,0.9,4.360464357776438,0,10
170,0.4,1.5,0.25,0.9,4.361839378241462,0,10
171,0.7,2.5,0.4,0.9,4.362209616421499,0,10
172,0.7,1.5,0.6,0.9,4.363692628932938,0,10
173,0.6,2.75,0.3,0.9,4.364562501304759,0,10
174,0.4,2.25,0.1,0.9,4.365192414901889,0,10
175,0.6,1.75,0.5,0.9,4.36590258707654,0,10
176,0.7,1.0,0.4,0.9,4.367007064827196,0,10
177,0.6,1.25,0.5,0.9,4.3675057678023235,0,10
178,0.6,3.0,0.2,0.9,4.369729996871913,0,10
179,0.7,2.0,0.5,0.9,4.370612274024141,0,10
180,0.0,2.0,0.2,0.9,4.371617797595771,0,10
181,0.7,0.75,0.6,0.9,4.372827611502877,0,10
182,0.7,3.0,0.25,0.9,4.373425425239817,0,10
183,0.4,2.5,0.1,0.9,4.374170975183685,0,10
184,0.7,1.5,0.7,0.9,4.375538495665574,0,10
185,0.5,1.25,0.3,0.9,4.375659867946425,0,10
186,0.1,1.75,0.2,0.9,4.3764126600698,0,10
187,0.7,2.75,0.4,0.9,4.376954180495539,0,10
188,0.7,1.0,0.75,0.9,4.378156835527458,0,10
189,0.7,1.0,0.7,0.9,4.379413531167793,0,10
190,0.7,1.5,0.75,0.9,4.379807176820041,0,10
191,0.7,2.25,0.5,0.9,4.380475432104515,0,10
192,0.7,1.75,0.6,0.9,4.381424095338401,0,10
193,0.6,2.5,0.4,0.9,4.381481934137927,0,10
194,0.6,0.75,0.6,0.9,4.382091273652633,0,10
195,0.7,1.0,0.5,0.9,4.382229694954813,0,10
196,0.7,3.0,0.3,0.9,4.382962176677906,0,10
197,0.7,1.0,0.8,0.9,4.3833071957488805,0,10
198,0.6,3.0,0.25,0.9,4.383673201361302,0,10
199,0.0,1.0,0.1,0.9,4.383858812730817,0,10
200,0.7,1.0,0.6,0.9,4.383933284325524,0,10
201,0.2,1.5,0.2,0.9,4.384785321145412,0,10
202,0.5,1.75,0.2,0.9,4.385396546781819,0,10
203,0.7,1.5,0.8,0.9,4.3862163517988835,0,10
204,0.5,1.0,0.2,0.9,4.386238403473315,0,10
205,0.5,2.5,0.1,0.9,4.386666324216726,0,10
206,0.0,1.5,0.25,0.9,4.390288370522259,0,10
207,0.4,1.25,0.3,0.9,4.390603954634308,0,10
208,0.0,2.25,0.2,0.9,4.3911150365306835,1,9
209,0.7,2.5,0.5,0.9,4.392160102470827,0,10
210,0.7,3.0,0.4,0.9,4.393599150143727,0,10
211,0.6,1.0,0.5,0.9,4.395202462702551,0,10
212,0.7,1.25,0.6,0.9,4.395559957205379,0,10
213,0.7,0.75,0.5,0.9,4.39566708963683,0,10
214,0.7,2.75,0.5,0.9,4.396034334816225,0,10
215,0.6,3.0,0.3,0.9,4.396447609556777,0,10
216,0.3,1.5,0.25,0.9,4.397549307826457,0,10
217,0.6,2.75,0.4,0.9,4.3980977937770565,0,10
218,0.6,0.75,0.5,0.9,4.398243898594377,0,10
219,0.3,1.75,0.2,0.9,4.399152035982555,0,10
220,0.7,3.0,0.5,0.9,4.400905459634741,0,10
221,0.0,1.25,0.25,0.9,4.4019728073335855,0,10
222,0.3,2.25,0.2,0.9,4.4035891172529755,2,9
223,0.7,1.75,0.7,0.9,4.404037516988192,0,10
224,0.6,2.0,0.5,0.9,4.405231252102574,0,10
225,0.7,1.5,0.9,0.9,4.405736138315126,0,10
226,0.7,3.0,0.6,0.9,4.406714594046707,0,10
227,0.6,1.5,0.6,0.9,4.406731480956232,0,10
228,0.3,2.0,0.2,0.9,4.406823748348503,0,10
229,0.5,2.0,0.25,0.9,4.407521490966838,0,10
230,0.1,2.0,0.2,0.9,4.407602022471469,0,10
231,0.5,2.25,0.2,0.9,4.408521457035242,0,10
232,0.6,0.75,0.4,0.9,4.4091948856907575,0,10
233,0.7,2.0,0.6,0.9,4.410433419185391,0,10
234,0.7,3.0,0.7,0.9,4.411084542698014,0,10
235,0.6,2.25,0.5,0.9,4.412031223523486,0,10
236,0.1,2.25,0.2,0.9,4.4120811503185715,0,10
237,0.7,2.25,0.6,0.9,4.412432162483038,0,10
238,0.7,0.75,0.4,0.9,4.412713714654911,0,10
239,0.6,1.75,0.6,0.9,4.413059142585744,0,10
240,0.7,3.0,0.75,0.9,4.413116799519991,0,10
241,0.7,2.75,0.6,0.9,4.413526085366029,0,10
242,0.5,1.0,0.25,0.9,4.4156322989822,0,10
243,0.7,3.0,0.8,0.9,4.415911330007372,0,10
244,0.7,1.75,0.75,0.9,4.415941829163439,0,10
245,0.6,0.75,0.3,0.9,4.41677956308372,0,10
246,0.6,3.0,0.4,0.9,4.417255404322385,0,10
247,0.7,2.5,0.6,0.9,4.418340443167382,0,10
248,0.6,0.75,0.25,0.9,4.419585116074717,0,10
249,0.6,0.75,0.2,0.9,4.42128546442299,0,10
250,0.7,0.75,0.3,0.9,4.4221735964129145,0,10
251,0.7,3.0,0.9,0.9,4.42283956475063,0,10
252,0.0,1.75,0.25,0.9,4.423187401017329,0,10
253,0.6,0.75,0.1,0.9,4.4255520534651644,0,10
254,0.7,0.75,0.25,0.9,4.425897475326342,0,10
255,0.7,2.75,0.7,0.9,4.4277871484445415,0,10
256,0.1,1.25,0.25,0.9,4.429065023440806,0,10
257,0.7,0.75,0.2,0.9,4.429081805479589,0,10
258,0.7,1.75,0.8,0.9,4.429730234992711,0,10
259,0.7,1.0,0.9,0.9,4.432102392777709,0,10
260,0.6,2.5,0.5,0.9,4.432220442821125,0,10
261,0.7,0.75,0.1,0.9,4.433194972173981,0,10
262,0.0,0.75,0.0,0.9,4.433759156283134,0,10
263,0.1,0.75,0.0,0.9,4.433759156283134,0,10
264,0.2,0.75,0.0,0.9,4.433759156283134,0,10
265,0.3,0.75,0.0,0.9,4.433759156283134,0,10
266,0.4,0.75,0.0,0.9,4.433759156283134,0,10
267,0.5,0.75,0.0,0.9,4.433759156283134,0,10
268,0.6,0.75,0.0,0.9,4.433759156283134,0,10
269,0.7,0.75,0.0,0.9,4.433759156283134,0,10
270,0.7,2.75,0.75,0.9,4.434103319060891,0,10
271,0.4,1.0,0.2,0.9,4.435879438324799,0,10
272,0.5,1.75,0.25,0.9,4.4363735322680595,0,10
273,0.7,3.0,1.0,0.9,4.436448490928973,0,10
274,0.4,2.0,0.2,0.9,4.436772534571537,0,10
275,0.4,1.75,0.2,0.9,4.436875622185046,0,10
276,0.4,1.5,0.3,0.9,4.4376356818116856,0,10
277,0.7,2.5,0.7,0.9,4.439849239982875,0,10
278,0.7,2.75,0.8,0.9,4.440680642391136,0,10
279,0.7,2.25,0.7,0.9,4.442061730785711,0,10
280,0.5,2.0,0.3,0.9,4.443154076301158,0,10
281,0.0,2.5,0.2,0.9,4.443318735434325,9,9
282,0.1,1.5,0.25,0.9,4.443961925162419,0,10
283,0.5,2.25,0.25,0.9,4.4448339681287035,0,10
284,0.2,1.75,0.2,0.9,4.446062256961619,0,10
285,0.6,1.25,0.6,0.9,4.447065585497115,0,10
286,0.6,1.0,0.6,0.9,4.4474854638597,0,10
287,0.7,1.25,0.7,0.9,4.447733310784579,0,10
288,0.5,1.0,0.3,0.9,4.448131541961599,0,10
289,0.7,1.75,0.9,0.9,4.44827646322004,0,10
290,0.7,2.0,0.7,0.9,4.448977375272838,0,10
291,0.6,2.75,0.5,0.9,4.448999823633281,0,10
292,0.7,2.5,0.75,0.9,4.449064257591448,0,10
293,0.7,2.75,0.9,0.9,4.449811210720664,0,10
294,0.5,2.75,0.1,0.9,4.44984062365544,0,10
295,0.2,2.0,0.2,0.9,4.452672658629286,0,10
296,0.0,2.0,0.25,0.9,4.453855270068877,0,10
297,0.3,1.25,0.3,0.9,4.454075601621362,0,10
298,0.7,2.25,0.75,0.9,4.454168301527268,0,10
299,0.6,3.0,0.5,0.9,4.4550812148145225,0,10
300,0.7,2.5,0.8,0.9,4.4579041642336605,0,10
301,0.7,2.25,1.0,0.9,4.459755348762151,0,10
302,0.4,2.25,0.2,0.9,4.4608769634510805,0,10
303,0.6,1.75,0.7,0.9,4.4614718096467065,0,10
304,0.0,1.5,0.3,0.9,4.462539778971511,0,10
305,0.0,2.25,0.25,0.9,4.4625648572594985,1,9
306,0.7,2.25,0.8,0.9,4.463761996585451,0,10
307,0.2,1.25,0.25,0.9,4.46631451131131,0,10
308,0.6,1.5,0.7,0.9,4.466539770535198,0,10
309,0.0,1.25,0.3,0.9,4.46660034009568,0,10
310,0.1,1.75,0.25,0.9,4.467416919117047,0,10
311,0.7,2.0,0.75,0.9,4.469520512633367,0,10
312,0.5,1.5,0.4,0.9,4.469771432297169,0,10
313,0.7,1.25,0.75,0.9,4.469925354797496,0,10
314,0.7,2.75,1.0,0.9,4.471001184154592,0,10
315,0.7,2.5,0.9,0.9,4.471515624600089,0,10
316,0.5,1.75,0.3,0.9,4.4717838495287285,0,10
317,0.7,2.25,0.9,0.9,4.471944910261808,0,10
318,0.2,2.25,0.2,0.9,4.473613486669483,3,9
319,0.4,0.75,0.1,0.9,4.474105059953701,0,10
320,0.3,1.5,0.3,0.9,4.474550004648026,0,10
321,0.3,1.0,0.2,0.9,4.475224290458509,0,10
322,0.1,1.0,0.2,0.9,4.476604845667724,0,10
323,0.5,2.5,0.2,0.9,4.47806098375855,0,10
324,0.3,1.75,0.25,0.9,4.478280279346227,0,10
325,0.6,2.5,0.6,0.9,4.479221408700854,0,10
326,0.4,1.0,0.25,0.9,4.47983614389426,0,10
327,0.7,2.0,0.8,0.9,4.480991612230981,0,10
328,0.5,1.25,0.4,0.9,4.481255868351173,0,10
329,0.5,2.25,0.3,0.9,4.481620161769974,0,10
330,0.7,1.5,1.0,0.9,4.481997331868167,0,10
331,0.6,2.25,0.6,0.9,4.483081744839711,0,10
332,0.5,0.75,0.1,0.9,4.483560577577603,0,10
333,0.7,1.25,0.8,0.9,4.48423939135412,0,10
334,0.6,1.75,0.75,0.9,4.484391598208144,0,10
335,0.7,2.5,1.0,0.9,4.485316214227196,0,10
336,0.0,1.0,0.2,0.9,4.486146099062775,0,10
337,0.6,3.0,0.6,0.9,4.488753001517401,0,10
338,0.7,1.75,1.0,0.9,4.48895357868412,0,10
339,0.0,0.75,0.1,0.9,4.490595979617703,0,10
340,0.6,1.5,0.75,0.9,4.49162439019957,0,10
341,0.6,2.75,0.6,0.9,4.491773607237957,0,10
342,0.0,1.75,0.3,0.9,4.49197774530217,0,10
343,0.2,1.5,0.25,0.9,4.492460947924035,0,10
344,0.5,0.75,0.9,0.9,4.4934940991447725,0,10
345,0.1,0.75,0.1,0.9,4.495183549182369,0,10
346,0.4,1.75,0.25,0.9,4.497135873723584,0,10
347,0.3,2.25,0.25,0.9,4.498590541647713,2,9
348,0.6,1.75,0.8,0.9,4.499122989964492,0,10
349,0.7,2.0,0.9,0.9,4.500565740004172,0,10
350,0.5,3.0,0.1,0.9,4.5006633793655535,0,10
351,0.3,2.0,0.25,0.9,4.503107960408139,0,10
352,0.6,2.0,0.6,0.9,4.504414778278482,0,10
353,0.6,1.0,0.7,0.9,4.506270463141996,0,10
354,0.1,2.5,0.2,0.9,4.509120806615742,4,9
355,0.1,1.25,0.3,0.9,4.51095804419366,0,10
356,0.0,2.5,0.25,0.9,4.511499562705705,9,9
357,0.1,2.0,0.25,0.9,4.511812706929554,0,10
358,0.5,2.5,0.25,0.9,4.512461085247167,0,10
359,0.6,3.0,0.7,0.9,4.512826369971909,0,10
360,0.1,2.25,0.25,0.9,4.51297747946339,0,10
361,0.4,2.0,0.25,0.9,4.513525469941585,0,10
362,0.5,1.0,0.4,0.9,4.514050713288615,0,10
363,0.7,1.25,0.9,0.9,4.514995535060868,0,10
364,0.4,1.0,0.3,0.9,4.515123588595048,0,10
365,0.5,2.0,0.4,0.9,4.51694474306855,0,10
366,0.5,1.75,0.4,0.9,4.517091656254345,0,10
367,0.5,0.75,0.8,0.9,4.51765614851696,0,10
368,0.6,1.75,0.9,0.9,4.5181008124378845,0,10
369,0.5,0.75,0.2,0.9,4.518894462956686,0,10
370,0.6,1.5,0.8,0.9,4.518985357834399,0,10
371,0.1,1.5,0.3,0.9,4.51964489439257,0,10
372,0.7,2.0,1.0,0.9,4.5200768247488154,0,10
373,0.6,2.75,0.7,0.9,4.5206189100301675,0,10
374,0.6,1.25,0.7,0.9,4.5211876049911055,0,10
375,0.6,3.0,0.75,0.9,4.521638352915839,0,10
376,0.0,2.0,0.3,0.9,4.521665053638801,0,10
377,0.6,2.5,0.7,0.9,4.5220611831784,0,10
378,0.4,2.75,0.1,0.9,4.523484233612738,0,10
379,0.0,2.75,0.1,0.9,4.523890357538797,12,9
380,0.5,0.75,0.25,0.9,4.525471057544406,0,10
381,0.3,1.0,0.25,0.9,4.525754949713364,0,10
382,0.0,1.0,0.25,0.9,4.526254628501991,0,10
383,0.0,2.25,0.3,0.9,4.526635695279567,1,9
384,0.5,2.75,0.2,0.9,4.529031045913245,0,10
385,0.6,3.0,0.8,0.9,4.52933144657518,0,10
386,0.4,0.75,0.2,0.9,4.529950251080361,0,10
387,0.2,1.0,0.2,0.9,4.530491003460478,0,10
388,0.3,2.75,0.1,0.9,4.53153315577375,4,9
389,0.6,2.75,0.75,0.9,4.532275360407149,0,10
390,0.3,2.5,0.2,0.9,4.533735449100981,4,9
391,0.5,0.75,0.3,0.9,4.5345734303249845,0,10
392,0.6,2.25,0.7,0.9,4.536129551536062,0,10
393,0.6,2.5,0.75,0.9,4.536528871329868,0,10
394,0.4,1.25,0.4,0.9,4.537287449622276,0,10
395,0.5,1.5,0.5,0.9,4.537594411580543,0,10
396,0.6,1.0,0.75,0.9,4.538190936748789,0,10
397,0.5,1.25,0.5,0.9,4.539931519870163,0,10
398,0.1,1.0,0.25,0.9,4.541118057367421,0,10
399,0.6,2.75,0.8,0.9,4.542473685785537,0,10
400,0.1,1.75,0.3,0.9,4.542678535615908,0,10
401,0.4,2.25,0.25,0.9,4.543063914427392,0,10
402,0.5,2.5,0.3,0.9,4.543757991133527,0,10
403,0.4,1.5,0.4,0.9,4.544154169928909,0,10
404,0.6,3.0,0.9,0.9,4.545960438439759,0,10
405,0.6,2.5,0.8,0.9,4.546495506093782,0,10
406,0.4,0.75,0.25,0.9,4.547571786109841,0,10
407,0.5,1.0,0.9,0.9,4.54834631296402,0,10
408,0.6,1.5,0.9,0.9,4.548503010892531,0,10
409,0.5,0.75,0.75,0.9,4.548906703122518,0,10
410,0.6,2.25,1.0,0.9,4.5489504365081395,0,10
411,0.2,1.75,0.25,0.9,4.548981248056412,0,10
412,0.4,1.75,0.3,0.9,4.549595524614852,0,10
413,0.3,1.75,0.3,0.9,4.550554681631107,0,10
414,0.5,2.25,0.4,0.9,4.551389590736313,0,10
415,0.0,0.75,0.2,0.9,4.551920255011455,0,10
416,0.1,0.75,0.2,0.9,4.553097309697911,0,10
417,0.6,2.25,0.75,0.9,4.553463048645069,0,10
418,0.6,1.25,0.75,0.9,4.554280969782183,0,10
419,0.2,0.75,0.1,0.9,4.5546293274598515,0,10
420,0.3,0.75,0.1,0.9,4.5551845058714004,0,10
421,0.5,1.0,0.5,0.9,4.556416810080816,0,10
422,0.5,0.75,0.4,0.9,4.556506790011682,0,10
423,0.5,1.75,0.5,0.9,4.556571589389588,0,10
424,0.5,2.75,0.25,0.9,4.559412489185993,0,10
425,0.6,2.75,0.9,0.9,4.560119818352485,0,10
426,0.4,2.5,0.2,0.9,4.561747924729879,0,10
427,0.0,1.0,0.3,0.9,4.5617705391801024,0,10
428,0.6,1.75,1.0,0.9,4.561895608879298,0,10
429,0.5,3.0,0.2,0.9,4.563504876177184,0,10
430,0.6,2.5,0.9,0.9,4.565465494234281,0,10
431,0.4,3.0,0.1,0.9,4.566174306828438,0,10
432,0.0,1.25,0.4,0.9,4.568090671090329,0,10
433,0.6,2.25,0.8,0.9,4.568230338418682,0,10
434,0.5,1.25,0.6,0.9,4.568531586593432,0,10
435,0.5,0.75,0.5,0.9,4.5686158393229555,0,10
436,0.6,2.75,1.0,0.9,4.568947283408781,0,10
437,0.0,0.75,0.25,0.9,4.5697103901456595,0,10
438,0.0,1.5,0.4,0.9,4.569764283834957,0,10
439,0.6,2.0,0.7,0.9,4.570420799703738,0,10
440,0.6,1.0,0.8,0.9,4.570726427418809,0,10
441,0.5,0.75,0.7,0.9,4.571292666679341,0,10
442,0.4,0.75,0.3,0.9,4.5721157895827185,0,10
443,0.3,1.0,0.3,0.9,4.572500841412143,0,10
444,0.0,2.5,0.3,0.9,4.573763961061948,9,9
445,0.5,0.75,0.6,0.9,4.573773994403383,0,10
446,0.5,1.0,0.6,0.9,4.574612687121313,0,10
447,0.6,3.0,1.0,0.9,4.576363559274686,0,10
448,0.4,2.0,0.3,0.9,4.579700746150159,0,10
449,0.2,1.25,0.3,0.9,4.582453699478053,0,10
450,0.0,1.75,0.4,0.9,4.583925105287599,0,10
451,0.5,2.0,0.5,0.9,4.584041863415189,0,10
452,0.5,1.75,0.6,0.9,4.584469295015611,0,10
453,0.4,1.0,0.4,0.9,4.58582032138565,0,10
454,0.5,1.5,0.6,0.9,4.585885184690784,0,10
455,0.5,1.0,0.8,0.9,4.587126971283261,0,10
456,0.5,2.75,0.3,0.9,4.587635469910647,0,10
457,0.0,0.75,0.3,0.9,4.587847600723835,0,10
458,0.5,3.0,0.25,0.9,4.5879165385364375,0,10
459,0.6,1.25,0.8,0.9,4.58795086352563,0,10
460,0.6,2.25,0.9,0.9,4.588715487363512,0,10
461,0.0,3.0,0.1,0.9,4.589640663852585,12,9
462,0.1,0.75,0.25,0.9,4.589721422262868,0,10
463,0.3,2.0,0.3,0.9,4.590989117496297,0,10
464,0.5,2.5,0.4,0.9,4.591959175397595,0,10
465,0.3,2.25,0.3,0.9,4.592170739269301,2,9
466,0.2,2.0,0.25,0.9,4.5928326605881145,0,10
467,0.3,0.75,0.2,0.9,4.593265291284329,0,10
468,0.5,1.0,0.7,0.9,4.5935741107224715,0,10
469,0.2,1.5,0.3,0.9,4.593597367366057,0,10
470,0.1,1.0,0.3,0.9,4.594054617819327,0,10
471,0.6,2.0,0.75,0.9,4.597300185479707,0,10
472,0.4,1.5,0.5,0.9,4.597660350532698,0,10
473,0.5,1.0,0.75,0.9,4.597806993112892,0,10
474,0.1,2.5,0.25,0.9,4.6009836824469375,4,9
475,0.1,2.25,0.3,0.9,4.602778468641356,0,10
476,0.6,2.5,1.0,0.9,4.603104778503244,0,10
477,0.1,2.0,0.3,0.9,4.6034241367942945,0,10
478,0.5,1.25,0.7,0.9,4.603714695055818,0,10
479,0.0,0.75,0.9,0.9,4.606478180647237,0,10
480,0.2,2.25,0.25,0.9,4.607408328760728,3,9
481,0.5,3.0,0.3,0.9,4.608378080500127,0,10
482,0.3,2.5,0.25,0.9,4.60842666746596,4,9
483,0.4,2.25,0.3,0.9,4.608792562152385,0,10
484,0.2,1.0,0.25,0.9,4.610123025069536,0,10
485,0.0,0.75,0.4,0.9,4.610553965139118,0,10
486,0.3,0.75,0.25,0.9,4.611247378754587,0,10
487,0.4,0.75,0.4,0.9,4.611309516198621,0,10
488,0.6,2.0,0.8,0.9,4.611919738219998,0,10
489,0.5,1.75,0.7,0.9,4.613091836312513,0,10
490,0.6,1.0,0.9,0.9,4.613187022809691,0,10
491,0.5,2.25,0.5,0.9,4.613954681948189,0,10
492,0.0,1.0,0.4,0.9,4.614298060860862,0,10
493,0.7,1.25,1.0,0.9,4.614802779761387,0,10
494,0.3,1.5,0.4,0.9,4.61506006279516,0,10
495,0.4,2.5,0.25,0.9,4.615631791087679,0,10
496,0.2,0.75,0.2,0.9,4.616299053246475,0,10
497,0.0,0.75,0.8,0.9,4.617147197556783,0,10
498,0.0,2.75,0.2,0.9,4.617710718318372,12,9
499,0.0,2.0,0.4,0.9,4.61946844356417,0,10
500,0.4,1.75,0.4,0.9,4.619561612706593,0,10
501,0.3,1.25,0.4,0.9,4.619826701650372,0,10
502,0.5,1.25,0.75,0.9,4.620384567454796,0,10
503,0.6,1.5,1.0,0.9,4.620879385893204,0,10
504,0.1,0.75,0.3,0.9,4.623826959947546,0,10
505,0.0,0.75,0.5,0.9,4.62429740845579,0,10
506,0.5,1.75,0.75,0.9,4.626863948403863,0,10
507,0.4,1.25,0.5,0.9,4.628245157343041,0,10
508,0.4,1.5,0.6,0.9,4.629392913403669,0,10
509,0.0,0.75,0.75,0.9,4.630894452246349,0,10
510,0.5,2.5,0.5,0.9,4.631817454392683,0,10
511,0.3,0.75,0.3,0.9,4.6331060057657245,0,10
512,0.5,2.75,0.4,0.9,4.63353458307824,0,10
513,0.5,1.25,0.8,0.9,4.63488909546679,0,10
514,0.2,2.5,0.2,0.9,4.635093558183585,12,9
515,0.4,0.75,0.7,0.9,4.636411220848348,0,10
516,0.0,2.25,0.4,0.9,4.637250210568541,1,9
517,0.0,0.75,0.7,0.9,4.639435649494294,0,10
518,0.5,1.5,0.7,0.9,4.63969497121951,0,10
519,0.5,1.75,1.0,0.9,4.641074426148353,0,10
520,0.5,2.0,0.6,0.9,4.6413475594200735,0,10
521,0.0,1.25,0.5,0.9,4.641776627786241,0,10
522,0.2,1.75,0.3,0.9,4.641829816685375,0,10
523,0.5,1.75,0.8,0.9,4.642454290245322,0,10
524,0.4,1.0,0.5,0.9,4.6424709493347285,0,10
525,0.0,1.5,0.5,0.9,4.642494391705917,0,10
526,0.5,1.75,0.9,0.9,4.643274258646753,0,10
527,0.5,3.0,0.4,0.9,4.6458723889609965,0,10
528,0.1,1.25,0.4,0.9,4.646009824264481,0,10
529,0.4,1.75,0.5,0.9,4.646023544575701,0,10
530,0.0,1.75,0.5,0.9,4.646033900233511,0,10
531,0.1,1.5,0.4,0.9,4.6463618412910375,0,10
532,0.0,1.0,0.5,0.9,4.646612481469488,0,10
533,0.4,0.75,0.6,0.9,4.646773047334687,0,10
534,0.0,0.75,0.6,0.9,4.647390981683422,0,10
535,0.4,1.5,0.7,0.9,4.648118881817094,0,10
536,0.4,1.75,0.9,0.9,4.649649863017564,0,10
537,0.4,1.75,0.75,0.9,4.650169519986621,0,10
538,0.4,0.75,0.75,0.9,4.650329355832564,0,10
539,0.4,0.75,0.5,0.9,4.650343469161835,0,10
540,0.4,1.75,0.8,0.9,4.650460245583144,0,10
541,0.6,2.0,0.9,0.9,4.6512471541062865,0,10
542,0.4,1.75,0.6,0.9,4.6515407116167475,0,10
543,0.4,2.5,0.3,0.9,4.651642777000384,0,10
544,0.1,2.75,0.1,0.9,4.652219853555207,5,9
545,0.6,1.25,0.9,0.9,4.652454980673566,0,10
546,0.4,1.75,0.7,0.9,4.6533501208039505,0,10
547,0.4,1.75,1.0,0.9,4.653563159133277,0,10
548,0.0,2.75,0.25,0.9,4.654703594340755,12,9
549,0.5,1.5,0.75,0.9,4.655381350515967,0,10
550,0.3,1.0,0.4,0.9,4.6557109918025255,0,10
