Date,method,gross_return,net_return,rf,gross_turnover,conditioning_alpha,pre_lambda_min,rank_pre_conditioning,correlation_identity_shrinkage_alpha,matched_correlation_kappa
2000-01-31,AIQ,-0.0037366234937862733,-0.0047328868702924964,0.0046777558769326,1.0,0.0,0.08473190688077546,10,,
2000-01-31,HC,-0.00641240292920599,-0.007405990526276773,0.0046777558769326,1.0,0.0,0.04198646431864013,10,,
2000-01-31,LS1,-0.008729610343371398,-0.009720880733028014,0.0046777558769326,1.0,0.0,0.3011630779343095,10,,
2000-01-31,LS2,-0.007886753239053412,-0.008878866485814374,0.0046777558769326,1.0,0.0,0.2120588316360675,10,,
2000-01-31,LS3,-0.0033744776559590304,-0.004371103178303026,0.0046777558769326,1.0,0.0,0.5343106300049868,10,,
2000-01-31,LS4,-0.005532094124615482,-0.006526562030490957,0.0046777558769326,1.0,0.0,0.33836197716420774,10,,
2000-01-31,LS5,-0.003629576649969956,-0.00462594707331998,0.0046777558769326,1.0,0.0,0.15127858704766645,10,,
2000-01-31,NLS6,-0.007469071659081905,-0.0084616025874229,0.0046777558769326,1.0,0.0,0.11399021838926754,10,,
2000-01-31,NLS7,-0.007356086719580391,-0.008348730632860901,0.0046777558769326,1.0,0.0,0.1062903710482417,10,,
2000-01-31,NLS8,-0.007517174206182824,-0.008509657031976592,0.0046777558769326,0.9999999999999998,0.0,0.1220715726942686,10,,
2000-01-31,CRE,-0.003588332280709464,-0.004584743948428671,0.0046777558769326,1.0,0.0,0.41007601031893026,10,,
2000-01-31,SRE_STAR,-0.0036399790856558364,-0.004636339106570131,0.0046777558769326,1.0,0.0,0.12223950983073607,10,,
2000-01-31,GS_STAR,-0.0030972947740037764,-0.004094197479229789,0.0046777558769326,1.0,0.0,0.34090643746983507,10,,
2000-01-31,ID_KAPPA,-0.0061606704030422845,-0.007154509732639203,0.0046777558769326,1.0,0.0,0.09960111783923614,10,0.06013970719069204,48.7002130760621
2000-01-31,EW,-0.012430382294819232,-0.013417951912524373,0.0046777558769326,1.0,0.0,,10,,
2000-02-29,AIQ,0.009973034096756653,0.009937462864833435,0.0046935871724245,0.0352199818435277,0.0,0.09165157922373503,10,,
2000-02-29,HC,0.011070043317104478,0.010989848552563464,0.0046935871724245,0.07931672496002362,0.0,0.044431346033570504,10,,
2000-02-29,LS1,0.011468553147110504,0.011396861886195264,0.0046935871724245,0.07087838835164897,0.0,0.32705264638172127,10,,
2000-02-29,LS2,0.01143091957347214,0.011358651775073003,0.0046935871724245,0.07145104722477766,0.0,0.23150279633992926,10,,
2000-02-29,LS3,0.01119177364616449,0.011176900984672056,0.0046935871724245,0.014708052300356295,0.0,0.5583536800783971,10,,
2000-02-29,LS4,0.010702742244504303,0.01066282608406377,0.0046935871724245,0.03949347198941497,0.0,0.3780099551742343,10,,
2000-02-29,LS5,0.01060198501212724,0.01057637598082084,0.0046935871724245,0.02534037305126536,0.0,0.15759357961064122,10,,
2000-02-29,NLS6,0.010759554559346672,0.010662094840647507,0.0046935871724245,0.09642225815174627,0.0,0.11429817046294487,10,,
2000-02-29,NLS7,0.010813937829876625,0.010706615816827636,0.0046935871724245,0.1061738555755887,0.0,0.10708325584139562,10,,
2000-02-29,NLS8,0.010697930492279632,0.010607432446535947,0.0046935871724245,0.08954015142750732,0.0,0.12189132540896204,10,,
2000-02-29,CRE,0.010495972507954166,0.01046993629118953,0.0046935871724245,0.02576577984774887,0.0,0.41596570435036107,10,,
2000-02-29,SRE_STAR,0.010571946213205124,0.010548371405811663,0.0046935871724245,0.023328183096627913,0.0,0.1296194081927131,10,,
2000-02-29,GS_STAR,0.009715408579259148,0.00968637762811575,0.0046935871724245,0.028751617432854214,0.0,0.3430580161122521,10,,
2000-02-29,ID_KAPPA,0.011002414739218154,0.010934351388634633,0.0046935871724245,0.06732263898826345,0.0,0.10979024708843685,10,0.068397912367228,43.33784391751609
2000-02-29,EW,0.04575318140541451,0.04572719916526413,0.0046935871724245,0.02484548037961329,0.0,,10,,
2000-03-31,AIQ,0.009012297767225182,0.008966205901488555,0.0047727025161425,0.04568018233137343,0.0,0.11240332631945235,10,,
2000-03-31,HC,0.008314931992693718,0.00827437961446087,0.0047727025161425,0.04021796855929579,0.0,0.042228247771040874,10,,
2000-03-31,LS1,0.002860601415688183,0.0028323224369144473,0.0047727025161425,0.028198314635089317,0.0,0.31376507108284524,10,,
2000-03-31,LS2,0.001298484042844856,0.0012660367972823217,0.0047727025161425,0.032405167969238646,0.0,0.22281278231616777,10,,
2000-03-31,LS3,0.010050458668191485,0.010043697537382323,0.0047727025161425,0.00669385450119242,0.0,0.5691602893846368,10,,
2000-03-31,LS4,0.008208279349541098,0.008178121048824316,0.0047727025161425,0.029912768357829536,0.0,0.3702216114733861,10,,
2000-03-31,LS5,0.006682832502602473,0.00667699500769392,0.0047727025161425,0.005798742881252858,0.0,0.20677063351111657,10,,
2000-03-31,NLS6,0.00950377223512141,0.00948570638159274,0.0047727025161425,0.017895776148332633,0.0,0.10668116363011051,10,,
2000-03-31,NLS7,0.009399865529785972,0.009377232481205366,0.0047727025161425,0.022422282143596137,0.0,0.09850701283828893,10,,
2000-03-31,NLS8,0.00959789502991516,0.00958403787655171,0.0047727025161425,0.01372541824001116,0.0,0.11537406251827091,10,,
2000-03-31,CRE,0.005725403564228722,0.00571609106107851,0.0047727025161425,0.009259488839728835,0.0,0.4408107756600969,10,,
2000-03-31,SRE_STAR,0.005683691916659059,0.005678693795156731,0.0047727025161425,0.004969874267978959,0.0,0.19660036755129118,10,,
2000-03-31,GS_STAR,0.007417760104513849,0.007374518742637504,0.0047727025161425,0.04292296958493574,0.0,0.3269932877028011,10,,
2000-03-31,ID_KAPPA,0.008155655773849019,0.00811525913023714,0.0047727025161425,0.04006984772677308,0.0,0.12818548698835355,10,0.0897471020807095,35.82964832707626
2000-03-31,EW,0.003942048029089931,0.003890454726340309,0.0047727025161425,0.05139071807084246,0.0,,10,,
2000-04-30,AIQ,-0.0017702475656781347,-0.001937747931368028,0.0047252415336795,0.16779740864414008,0.0,0.11727130023114705,10,,
2000-04-30,HC,-0.002826803291012822,-0.002903172907144147,0.0047252415336795,0.07658610999916188,0.0,0.026396183922500593,10,,
2000-04-30,LS1,-0.0019373215362772094,-0.002005905364553806,0.0047252415336795,0.06871695511361936,0.0,0.3060872999936558,10,,
2000-04-30,LS2,-0.000649362579270129,-0.0007122490411718418,0.0047252415336795,0.0629273245514576,0.0,0.20937572226488388,10,,
2000-04-30,LS3,-0.002409446445834325,-0.0024355856697952927,0.0047252415336795,0.026202357137280197,0.0,0.5949278552109103,10,,
2000-04-30,LS4,-0.0027754626386726168,-0.002827341213866408,0.0047252415336795,0.052022962984043075,0.0,0.381725551397339,10,,
2000-04-30,LS5,-0.0023193238712890564,-0.002342181512057784,0.0047252415336795,0.02291077828361629,0.0,0.22241207563048243,10,,
2000-04-30,NLS6,-0.004326733658721626,-0.004420035138722134,0.0047252415336795,0.09370692490665755,0.0,0.07310319770193828,10,,
2000-04-30,NLS7,-0.004255149885970712,-0.00434797700305356,0.0047252415336795,0.09322379831753297,0.0,0.0661451870334603,10,,
2000-04-30,NLS8,-0.0044231711021723505,-0.004518935060913165,0.0047252415336795,0.09618942100805412,0.0,0.08067682184482257,10,,
2000-04-30,CRE,-0.0020038858615144504,-0.002029851526061499,0.0047252415336795,0.026017801251056936,0.0,0.44936769094736123,10,,
2000-04-30,SRE_STAR,-0.002390590594511055,-0.002415613156282581,0.0047252415336795,0.025082523817015145,0.0,0.19088770816332548,10,,
2000-04-30,GS_STAR,-0.000989434308836221,-0.00106499059024745,0.0047252415336795,0.07563111342964138,0.0,0.3706915613557838,10,,
2000-04-30,ID_KAPPA,-0.0029021839771963933,-0.0029671330664440276,0.0047252415336795,0.06513813209081437,0.0,0.13480595970249742,10,0.11134896350012578,32.33561213461578
