period,method,n_months,first_date,last_date,realised_vol_10bp_pct,sharpe_10bp,max_drawdown_10bp_pct,es95_10bp_pct,downside_deviation_10bp_pct,terminal_wealth_10bp_from_100
2000-2004,AIQ,60,2000-01-31,2004-12-31,3.6736768186776367,1.2525998448403455,3.0593806026868897,2.037696985369375,1.8367493085342703,143.0159629364704
2000-2004,CRE,60,2000-01-31,2004-12-31,3.930315672367093,1.3416400700309814,3.611692272730438,2.1819182186172554,1.9758731690617557,147.7970938033047
2000-2004,EW,60,2000-01-31,2004-12-31,11.656201702139766,0.23632358911639703,25.23165285039489,6.71634024576198,7.873520300459788,126.58576071998189
2000-2004,GS_STAR,60,2000-01-31,2004-12-31,3.8144932435967234,1.2437757273496892,3.918876078307487,2.108409258832607,1.9043800359806868,143.99694417192876
2000-2004,HC,60,2000-01-31,2004-12-31,3.8488773650653236,1.217224636677322,3.755312252337406,2.188667619721296,2.033430728536589,143.5622614587401
2000-2004,ID_KAPPA,60,2000-01-31,2004-12-31,3.842701697367807,1.2347053083441435,3.748468916462344,2.190658577126396,2.0268237957818482,143.9902272248621
2000-2004,LS1,60,2000-01-31,2004-12-31,4.997981525218272,1.0074841764579248,4.041401742975337,2.7349148456771983,2.791053538703721,145.72218771751608
2000-2004,LS2,60,2000-01-31,2004-12-31,4.821246514986396,1.0026346677331786,3.957325506650089,2.6357693133370774,2.6753056087175193,144.33208467919653
2000-2004,LS3,60,2000-01-31,2004-12-31,3.7875896623241214,1.2941334923245456,3.76415550309519,2.2129955456270762,1.9964082440302444,145.1332777227766
2000-2004,LS4,60,2000-01-31,2004-12-31,3.8037353628879917,1.2793141595495634,3.6913947102380718,2.1641136750138568,1.9890506610226455,144.87339752388738
2000-2004,LS5,60,2000-01-31,2004-12-31,3.852414468744684,1.3728824582157315,3.8662719168129134,2.213295712387235,1.9996157769056542,147.93486133442622
2000-2004,NLS6,60,2000-01-31,2004-12-31,4.152996132600506,1.065348836934072,3.810505994602964,2.235324682853279,2.156923122777895,141.6315619701097
2000-2004,NLS7,60,2000-01-31,2004-12-31,4.138626126647524,1.0813727671174531,3.7418892295289052,2.217487271728384,2.1233206856271596,141.9955065210366
2000-2004,NLS8,60,2000-01-31,2004-12-31,4.176489876080715,1.0509153714476476,3.8786138039633156,2.250896394358755,2.1951385467741975,141.3765947222045
2000-2004,SRE_STAR,60,2000-01-31,2004-12-31,3.9391641795241674,1.3226490118058787,3.5249535836790358,2.1876026140768627,1.9596200766859417,147.3334106110498
2005-2009,AIQ,60,2005-01-31,2009-12-31,4.157397197186308,0.40581686815682577,6.447921090895036,2.484242495341778,2.5301659628228803,124.28209816352782
2005-2009,CRE,60,2005-01-31,2009-12-31,4.324215949566799,0.3562123708122467,8.135640679197264,2.8941289068439624,2.7738644691682395,123.33192954661992
2005-2009,EW,60,2005-01-31,2009-12-31,15.68198050990745,0.31648701383561045,42.01972746603476,11.702440200362085,11.56726882902751,137.94475080771514
